SN,NIN,Facility_Name,Facility_Type,State,District,Taluka,Block,Activity Name/Health Day Name ,Activity_Date,Event_name,Year
108,1111676811,Nagri,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,health talk with anemia control ,(22nd March 2024),Health talk,2024
125,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(16th March 2024),Meditation,2024
126,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,Opd,(18th March 2024),Health talk,2024
127,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(19th March 2024),Yoga,2024
128,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,school visit ,(20th March 2024),School visit,2024
129,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,Opd,(21st March 2024),Health talk,2024
130,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(22nd March 2024),Yoga,2024
131,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(23rd March 2024),Yoga,2024
132,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,opd,(25th March 2024),Health talk,2024
133,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,opd,(26th March 2024),Awareness activity about eat right,2024
134,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(27th March 2024),School visit,2024
135,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(28th March 2024),School visit,2024
140,1112228570,HSC Dipatoli Salgaposh,SubCentre,Jharkhand,Simdega,THETHAITANGAR,THETHAITANAGAR,oral health day,(20th March 2024),Special screening talk,2024
141,1112228570,HSC Dipatoli Salgaposh,SubCentre,Jharkhand,Simdega,THETHAITANGAR,THETHAITANAGAR,family welfare day,(29th March 2024),Health talk,2024
149,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,PMSMA HEALTH CHECK UP ,(9th March 2024),"Other
",2024
150,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,ELDERLY HEALTH DAY,(16th March 2024),Special screening talk,2024
151,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,world oral health day ,(20th March 2024),Special screening talk,2024
152,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,FAMILY WELFARE DAY ,(21st March 2024),"Other
",2024
168,1113585234,HSC MANAHATU,SubCentre,Jharkhand,Khunti,TORPA,TORPA,bujurg diwas ,(16th March 2024),"Other
",2024
171,1113652349,HSC MAKRA,SubCentre,Jharkhand,Latehar,BALUMATH,BALUMATH,International Women's Day(8th March 2024),(8th March 2024),Health talk,2024
172,1113652349,HSC MAKRA,SubCentre,Jharkhand,Latehar,BALUMATH,BALUMATH,kushth jagrukta Abhiyan,(9th March 2024),Health talk,2024
173,1113652349,HSC MAKRA,SubCentre,Jharkhand,Latehar,BALUMATH,BALUMATH,Pariwar Kalyan Diwas,(21st March 2024),"Health talk,Other
",2024
187,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,family planning day ,(21st March 2024),"Other
",2024
188,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,oral health checkup ,(20th March 2024),"Other
",2024
189,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,yoga session ,(19th March 2024),Yoga,2024
198,1115338160,UPHC Patratu Basti,Urban Health Centre,Jharkhand,Ramgarh,RAMGARH,RAMGARH,Yoga,(12th March 2024),Yoga,2024
207,1115341677,UPHC Matiyal,Urban Health Centre,Jharkhand,Sahibganj,RAJMAHAL,RAJMAHAL,monthly meeting ,(29th March 2024),"Other
",2024
220,1115837153,UAAM-GOUSHNAGAR,Urban Health Centre,Jharkhand,Bokaro,CHAS,CHAS,Elderly Health Camp,(16th March 2024),"Other
",2024
221,1115837518,UPHC Kailash Nagar,Urban Health Centre,Jharkhand,Bokaro,CHAS,CHAS,Health Awareness,(16th March 2024),Awareness activity about eat right,2024
239,1116236249,HSC MIRJAPUR,SubCentre,Jharkhand,Bokaro,PETERWAR,PETERWAR,masik bujurg diwas celebration at AAM Mirzapur ,(16th March 2024),"Other
",2024
240,1116236249,HSC MIRJAPUR,SubCentre,Jharkhand,Bokaro,PETERWAR,PETERWAR,yoga activities ,(15th March 2024),Yoga,2024
241,1116236249,HSC MIRJAPUR,SubCentre,Jharkhand,Bokaro,PETERWAR,PETERWAR,yoga ,(30th March 2024),Yoga,2024
251,1117723252,PHC Peshrar,Primary Health Centre,Jharkhand,Lohardaga,KISKO,KISKO,family welfare day,(21st March 2024),Health talk,2024
263,1117812626,HSC DALAIKELA,SubCentre,Jharkhand,Sarikela-Kharswana,KHARSAWAN,KHARSAWAN,vhnd session ,(2nd March 2024),"Other
",2024
264,1117812626,HSC DALAIKELA,SubCentre,Jharkhand,Sarikela-Kharswana,KHARSAWAN,KHARSAWAN,monthly meeting ,(5th March 2024),"Other
",2024
265,1117812626,HSC DALAIKELA,SubCentre,Jharkhand,Sarikela-Kharswana,KHARSAWAN,KHARSAWAN,vhsnc meeting ,(6th March 2024),"Other
",2024
266,1117812626,HSC DALAIKELA,SubCentre,Jharkhand,Sarikela-Kharswana,KHARSAWAN,KHARSAWAN,family welfare day ,(21st March 2024),"Other
",2024
267,1117812626,HSC DALAIKELA,SubCentre,Jharkhand,Sarikela-Kharswana,KHARSAWAN,KHARSAWAN,CHC monthly meeting ,(20th March 2024),"Other
",2024
294,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(1st March 2024),School visit,2024
295,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(2nd March 2024),School visit,2024
296,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(4th March 2024),School visit,2024
297,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(7th March 2024),Community meeting,2024
298,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(14th March 2024),School visit,2024
299,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(18th March 2024),Yoga,2024
300,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(21st March 2024),School visit,2024
301,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(22nd March 2024),School visit,2024
302,1122243262,HSC Bhubhai,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Wellness ,(28th March 2024),School visit,2024
313,1122248121,HSC Nemra,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,Vhnd ,(2nd March 2024),"Other
",2024
314,1122248121,HSC Nemra,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,International Women's Day(8th March 2024),(8th March 2024),"Other
",2024
315,1122248121,HSC Nemra,SubCentre,Jharkhand,Ramgarh,GOLA,GOLA,,(27th March 2024),"Other
",2024
318,1123621672,HSC HARIYARI,SubCentre,Jharkhand,Godda,POREYAHAT,POREYAHAT,yoga,(9th March 2024),Yoga,2024
319,1123621672,HSC HARIYARI,SubCentre,Jharkhand,Godda,POREYAHAT,POREYAHAT,yoga,(6th March 2024),Yoga,2024
320,1123621672,HSC HARIYARI,SubCentre,Jharkhand,Godda,POREYAHAT,POREYAHAT,yoga,(12th March 2024),Yoga,2024
321,1123621672,HSC HARIYARI,SubCentre,Jharkhand,Godda,POREYAHAT,POREYAHAT,yoga,(15th March 2024),Yoga,2024
322,1123621672,HSC HARIYARI,SubCentre,Jharkhand,Godda,POREYAHAT,POREYAHAT,yoga,(27th March 2024),Yoga,2024
323,1123621672,HSC HARIYARI,SubCentre,Jharkhand,Godda,POREYAHAT,POREYAHAT,yoga ,(30th March 2024),Yoga,2024
325,1125144715,"Rajkiya Ayurvedik Aushdhalaya, amarpur, Dumka",SubCentre,Jharkhand,Dumka,DUMKA,DUMKA,,(21st March 2024),"Other
",2024
326,1125145589,"Rajkiya Homeopathic  Aushdhalaya, Kunda",SubCentre,Jharkhand,Chatra,KUNDA,,Awarence camp on healthy dietary practice ,(22nd March 2024),Awareness activity about eat right,2024
327,1125145829,"Rajkiya Homeopathic Aushdhalaya, Ramgrah",SubCentre,Jharkhand,Dumka,RAMGARH,RAMGARH,Poshan pakhwada ,(20th March 2024),Health talk,2024
328,1125146272,"Rajkiya Homeopathic Aushdhalaya, Saria",SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Ayush health camp ,(11th March 2024),"Other
",2024
329,1125146272,"Rajkiya Homeopathic Aushdhalaya, Saria",SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Poshan pakhwara 2024,(23rd March 2024),School visit,2024
330,1125146272,"Rajkiya Homeopathic Aushdhalaya, Saria",SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual hygiene Ayush camp,(29th March 2024),Health talk,2024
351,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(1st March 2024),Yoga,2024
352,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(2nd March 2024),Yoga,2024
353,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,International Women's Day(8th March 2024),(8th March 2024),Yoga,2024
354,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(9th March 2024),Yoga,2024
355,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(11th March 2024),Yoga,2024
356,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(6th March 2024),Yoga,2024
357,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(7th March 2024),Yoga,2024
358,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(13th March 2024),Yoga,2024
359,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(14th March 2024),Yoga,2024
360,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(15th March 2024),Yoga,2024
361,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(16th March 2024),Yoga,2024
362,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(18th March 2024),Yoga,2024
363,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(19th March 2024),Yoga,2024
364,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(20th March 2024),Yoga,2024
365,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur school ,(21st March 2024),Yoga,2024
366,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(26th March 2024),Yoga,2024
367,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(27th March 2024),Yoga,2024
368,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga at swashpur ,(28th March 2024),Yoga,2024
369,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(29th March 2024),Yoga,2024
370,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(30th March 2024),Yoga,2024
371,1125146363,"Rajkiya Ayurvedic Aushdhalaya, Swaspur",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,yoga session at swashpur ,(31st March 2024),Yoga,2024
448,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AND AYUSH GRAM ,(1st March 2024),Yoga,2024
449,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(2nd March 2024),Yoga,2024
450,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(4th March 2024),Yoga,2024
451,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION ,(5th March 2024),Yoga,2024
452,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(6th March 2024),Yoga,2024
453,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH ,(7th March 2024),Yoga,2024
454,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,International Women's Day(8th March 2024),(8th March 2024),Yoga,2024
455,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(9th March 2024),Yoga,2024
456,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(11th March 2024),Yoga,2024
457,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION ,(12th March 2024),Yoga,2024
458,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(13th March 2024),Yoga,2024
459,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(14th March 2024),Yoga,2024
460,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(15th March 2024),Yoga,2024
461,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION ,(16th March 2024),Yoga,2024
462,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM,(18th March 2024),Yoga,2024
463,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION ,(19th March 2024),Yoga,2024
464,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(20th March 2024),Yoga,2024
465,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(21st March 2024),Yoga,2024
466,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(22nd March 2024),Yoga,2024
467,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION ,(23rd March 2024),Yoga,2024
468,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YoGA SESSION ,(27th March 2024),Yoga,2024
469,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION AYUSH GRAM AND SCHOOL AND AAM AYUSH ,(28th March 2024),Yoga,2024
470,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM ,(29th March 2024),Yoga,2024
471,1125146637,"Rajkiya Ayurvedic Aushdhalaya, Karaduba",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,YOGA SESSION CONDUCTED AAM AYUSH AND AYUSH GRAM AND SCHOOL ,(30th March 2024),Yoga,2024
500,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,other ,(11th March 2024),Yoga,2024
501,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,other ,(4th March 2024),Yoga,2024
502,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,other ,(6th March 2024),Yoga,2024
503,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,other ,(9th March 2024),Yoga,2024
504,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,other ,(12th March 2024),Yoga,2024
505,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,other ,(15th March 2024),Yoga,2024
506,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,Geriatric camp ,(16th March 2024),"Health talk,Awareness activity about eat right",2024
507,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,Awareness camp on healthy dietary practices,(20th March 2024),Health talk,2024
508,1125146660,"Rajkiya Ayurvedic Aushdhalaya, Musabani",SubCentre,Jharkhand,Purbi Singhbhum,MUSABANI,MUSABANI,Poshan Pakhwada ,(22nd March 2024),Awareness activity about eat right,2024
514,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga at Village,(1st March 2024),Yoga,2024
515,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at School,(4th March 2024),Yoga,2024
516,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at School,(7th March 2024),Yoga,2024
517,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at Village,(19th March 2024),Yoga,2024
518,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at School,(21st March 2024),Yoga,2024
519,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Poshan Pakhwara 2024,(22nd March 2024),Awareness activity about eat right,2024
520,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at Village,(23rd March 2024),Yoga,2024
521,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at Village,(26th March 2024),Yoga,2024
522,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at School,(27th March 2024),Yoga,2024
523,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at School,(28th March 2024),Yoga,2024
524,1125146751,"Rajkiya Ayurvedic Aushdhalaya, Ghatshila",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Yoga Session at School,(30th March 2024),Yoga,2024
541,1125147262,"Rajkiya Homeopathic Aushdhalaya, Dumaria",SubCentre,Jharkhand,Purbi Singhbhum,DUMARIA,DUMARIA,posan pakhwada,(21st March 2024),"Awareness activity about eat right,Other
",2024
542,1125147262,"Rajkiya Homeopathic Aushdhalaya, Dumaria",SubCentre,Jharkhand,Purbi Singhbhum,DUMARIA,DUMARIA,Ayush Camp,(29th March 2024),Community meeting,2024
547,1125147320,"Rajkiya Unani Aushdhalaya, Mango",SubCentre,Jharkhand,Purbi Singhbhum,DHALBHUMGARH,DHALBHUMGARH,,(7th March 2024),School visit,2024
548,1125147320,"Rajkiya Unani Aushdhalaya, Mango",SubCentre,Jharkhand,Purbi Singhbhum,DHALBHUMGARH,DHALBHUMGARH,Poshan pakhwada,(23rd March 2024),"Community meeting,Awareness activity about eat right",2024
549,1125147411,"Rajkiya Unani Aushdhalaya, Chakuliya",SubCentre,Jharkhand,Purbi Singhbhum,GHATSHILA,GHATSHILA,Celebration of poshan pokhwara ,(21st March 2024),Cyclathone,2024
560,1125168144,"Rajkiya Homeopathic Aushdhalaya, Nawadih",SubCentre,Jharkhand,Bokaro,BERMO,BERMO,ayush gram camp,(14th March 2024),"Other
",2024
561,1125168144,"Rajkiya Homeopathic Aushdhalaya, Nawadih",SubCentre,Jharkhand,Bokaro,BERMO,BERMO,Musculoskeletal and osteoarthritis camp,(15th March 2024),"Other
",2024
562,1125168144,"Rajkiya Homeopathic Aushdhalaya, Nawadih",SubCentre,Jharkhand,Bokaro,BERMO,BERMO,Geriatric camp,(16th March 2024),"Other
",2024
